BLUE,GREEN,RED,NIR,NDVI,Landcover
0.04095,0.04995,0.0303,0.011,0.099009894,water
0.0419,0.04995,0.03065,0.01125,0.08764288,water
0.04175,0.0501,0.0301,0.01185,0.09090909,water
0.04245,0.0499,0.03065,0.0121,0.080671355,water
0.04365,0.0499,0.0314,0.0127,0.06680917,water
0.0445,0.0502,0.03145,0.0134,0.06019007,water
0.0436,0.05075,0.03175,0.0133,0.07578165,water
0.0436,0.05075,0.03175,0.0133,0.07578165,water
0.0433,0.0521,0.0319,0.01325,0.09224319,water
0.0448,0.0534,0.03185,0.01455,0.08757638,water
0.04555,0.05415,0.03065,0.0154,0.08625878,water
0.04505,0.05145,0.02925,0.01565,0.066321254,water
0.04235,0.0469,0.0228,0.0107,0.050980378,water
0.03925,0.0467,0.0232,0.0101,0.0866783,water
0.04065,0.04695,0.02255,0.0096,0.07191783,water
0.04035,0.0463,0.02175,0.00885,0.068667054,water
